RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,1.00,2.95
3,AMERICANO,6.00,15.60
4,CAPPUCCINO,13.00,39.65
5,LATTE,13.00,37.79
23,MISC DRINK,1.00,20.00
24,MISC FOOD,1.00,3.50
29,KIDS GRANOLA,3.00,4.95
35,ICED MOCHA,1.00,3.60
38,ENGLISH BREAKFAST,1.00,2.95
42,ICED CHOCOLATE ,1.00,3.60
54,SPARKLING WATER,1.00,3.00
67,FRY,4.00,48.00
76,PORK WAFFLES,1.00,9.95
77,TURKISH EGGS,1.00,7.95
84,WEARE KOMBUCHA,3.00,11.10
87,BREAKFAST BOWL,4.00,34.50
98,FRIES,1.00,3.00
120,EXTRA SAUSAGE,1.00,1.50
132,T/A ,1.00,0.00
145,KIDS BACON & BEANS,1.00,4.95
163,CAKE SLICE,16.00,46.50
232,BAC & SAUS BAP,0.00,0.00
251,ALTITUDE 220,3.00,20.85
252,MILL TOWN 220,4.00,27.80
253,CAMPBELL STREET 220,1.00,6.95
254,RWANDA 220,1.00,7.90
301,TOTE BAG,0.00,0.00
342, KALE KICK,1.00,4.60
402, �3.50 BREAD,3.00,10.50
403, �4.00 BREAD,1.00,4.00
424,ORGANIC 220,2.00,15.80
901,OAT MILK,3.00,0.00
902,DECAF,3.00,0.00
904,EXTRA HOT,1.00,0.00
905,BLACK,4.00,0.00
906,HOT MILK,1.00,0.00
908,COLD MILK,1.00,0.00

