RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,17.00,50.15
3,AMERICANO,2.00,4.55
4,CAPPUCCINO,17.00,51.85
5,LATTE,18.00,53.55
9,CHEMEX,1.00,3.75
12,HOT CHOCOLATE,2.00,7.10
17,BABYCINO,1.00,0.00
23,MISC DRINK,1.00,2.60
24,MISC FOOD,1.00,3.50
26,TRUFFLE MUSHROOMS,1.00,8.50
29,KIDS GRANOLA,1.00,4.95
30,LONG BLACK,1.00,2.85
35,ICED MOCHA,0.00,0.00
38,ENGLISH BREAKFAST,4.00,11.80
61,ORANGE JUICE,1.00,3.00
62,MOCHA,1.00,3.55
66,GARLIC BUTTER,1.00,8.95
67,FRY,11.00,132.00
68,POACHED NECTARINE,1.00,12.00
70,VEGAN FRY,2.00,24.00
71,SYRUP,3.00,1.20
72,CREAM,2.00,0.80
76,PORK WAFFLES,4.00,39.80
77,TURKISH EGGS,5.00,39.75
83,COCONUT WAFFLES,1.00,11.00
87,BREAKFAST BOWL,2.00,23.00
100,TOAST,4.00,16.00
112,EXTRA BACON,2.00,3.00
120,EXTRA SAUSAGE,2.00,3.00
132,T/A ,13.00,0.00
139,COCONUT MILK,1.00,0.00
142,KIDS SAUSAGE BEANS,1.00,4.95
163,CAKE SLICE,8.00,23.25
239,BANANA GRANOLA,2.00,9.90
240,BAKED HAM,3.00,26.85
251,ALTITUDE 220,2.00,13.90
325,EXTRA HASH BROWN,3.00,3.00
341, ICED LATTE,2.00,6.60
342, KALE KICK,5.00,23.00
343,COCO LOCO ,1.00,4.60
345,VANILLA MILKSHAKE ,2.00,8.20
346,CHOCO MILKSHAKE ,1.00,4.10
402, �3.50 BREAD,8.00,28.00
403, �4.00 BREAD,5.00,18.00
901,OAT MILK,6.00,0.00
903,WEAK,2.00,0.00
906,HOT MILK,2.00,0.00
927,JAM,2.00,0.00
930,JUST BUTTER,2.00,0.00
944,VANILLA,1.00,0.00
946,CARAMEL,2.00,0.00

