RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,8.00,23.60
3,AMERICANO,12.00,30.55
4,CAPPUCCINO,1.00,2.28
5,LATTE,7.00,22.05
7,MACCHIATO,2.00,4.90
10,ICED CHAI,1.00,3.60
12,HOT CHOCOLATE,2.00,7.10
17,BABYCINO,3.00,0.00
29,KIDS GRANOLA,2.00,9.90
35,ICED MOCHA,1.00,3.60
36,MINI HOT CHOC,2.00,4.00
38,ENGLISH BREAKFAST,1.00,2.95
40,DECAF TEA,2.00,5.80
57,CAW APPLE/MAN,1.00,1.60
62,MOCHA,1.00,3.55
63,CHAI LATTE,1.00,3.55
66,GARLIC BUTTER,2.00,17.90
67,FRY,2.00,24.00
70,VEGAN FRY,1.00,12.00
71,SYRUP,1.00,0.40
73,NO CREAM,2.00,0.00
76,PORK WAFFLES,1.00,9.95
77,TURKISH EGGS,3.00,23.85
87,BREAKFAST BOWL,4.00,34.50
98,FRIES,2.00,0.00
100,TOAST,2.00,7.00
112,EXTRA BACON,1.00,1.12
113,EXTRA EGG,1.00,0.75
132,T/A ,1.00,0.00
145,KIDS BACON & BEANS,1.00,0.00
163,CAKE SLICE,20.00,56.50
251,ALTITUDE 220,1.00,6.95
253,CAMPBELL STREET 220,4.00,27.80
259,SWISS DECAF 220,1.00,6.95
341, ICED LATTE,1.00,3.30
343,COCO LOCO ,1.00,4.60
402, �3.50 BREAD,3.00,10.50
403, �4.00 BREAD,0.00,0.00
901,OAT MILK,2.00,0.00
902,DECAF,5.00,0.00
905,BLACK,5.00,0.00
906,HOT MILK,6.00,0.00
908,COLD MILK,1.00,0.00
920,POACHED,1.00,0.00
930,JUST BUTTER,2.00,0.00
946,CARAMEL,1.00,0.00

