RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,14.00,39.82
3,AMERICANO,7.00,18.20
4,CAPPUCCINO,10.00,30.50
5,LATTE,17.00,53.55
6,ESPRESSO,2.00,4.90
9,CHEMEX,1.00,3.75
12,HOT CHOCOLATE,1.00,3.55
17,BABYCINO,1.00,0.00
23,MISC DRINK,1.00,2.30
26,TRUFFLE MUSHROOMS,4.00,34.00
29,KIDS GRANOLA,2.00,9.90
30,LONG BLACK,3.00,8.55
38,ENGLISH BREAKFAST,2.00,5.90
40,DECAF TEA,1.00,2.90
41,APPLE JUICE,1.00,3.00
44,COLA,3.00,8.70
61,ORANGE JUICE,4.00,12.00
62,MOCHA,2.00,7.10
63,CHAI LATTE,1.00,3.55
66,GARLIC BUTTER,2.00,17.90
67,FRY,13.00,156.00
68,POACHED NECTARINE,2.00,24.00
70,VEGAN FRY,1.00,12.00
71,SYRUP,6.00,2.40
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,2.00,19.90
77,TURKISH EGGS,2.00,15.90
83,COCONUT WAFFLES,9.00,99.00
87,BREAKFAST BOWL,4.00,46.00
100,TOAST,7.00,28.00
101,ESPRESSO MARMALADE,2.00,0.00
112,EXTRA BACON,1.00,1.50
113,EXTRA EGG,2.00,2.00
120,EXTRA SAUSAGE,1.00,1.50
124,EXTRA TOAST,2.00,1.00
132,T/A ,2.00,0.00
142,KIDS SAUSAGE BEANS,1.00,4.95
144,KIDS WAFFLES,4.00,19.80
145,KIDS BACON & BEANS,1.00,4.95
163,CAKE SLICE,12.00,31.50
165,DOUGHNUTS,3.00,12.00
251,ALTITUDE 220,0.00,0.00
253,CAMPBELL STREET 220,1.00,6.95
325,EXTRA HASH BROWN,5.00,5.00
338,COFFEE ORIGIN 2 ,1.00,0.50
341, ICED LATTE,1.00,3.30
342, KALE KICK,1.00,4.60
343,COCO LOCO ,4.00,18.40
345,VANILLA MILKSHAKE ,1.00,4.10
402, �3.50 BREAD,1.00,3.50
403, �4.00 BREAD,2.00,8.00
901,OAT MILK,13.00,0.00
902,DECAF,5.00,0.00
903,WEAK,2.00,0.00
904,EXTRA HOT,1.00,0.00
905,BLACK,2.00,0.00
906,HOT MILK,2.00,0.00
908,COLD MILK,2.00,0.00
920,POACHED,2.00,0.00
927,JAM,3.00,0.00
930,JUST BUTTER,2.00,0.00
944,VANILLA,5.00,0.00

