RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,16.00,47.20
3,AMERICANO,10.00,23.40
4,CAPPUCCINO,14.00,38.88
5,LATTE,21.00,59.85
9,CHEMEX,1.00,3.75
12,HOT CHOCOLATE,2.00,7.10
14,MATCHA LATTE,1.00,3.55
15,BEETROOT LATTE,1.00,3.55
16,TUMERIC LATTE,2.00,7.10
17,BABYCINO,0.00,0.00
19,GREEN TEA,1.00,2.95
26,TRUFFLE MUSHROOMS,10.00,85.00
27,GF CAKE,1.00,3.25
29,KIDS GRANOLA,2.00,9.90
30,LONG BLACK,1.00,2.85
38,ENGLISH BREAKFAST,3.00,8.85
44,COLA,2.00,5.80
56,CAW APPLE/PEAR,2.00,3.20
61,ORANGE JUICE,1.00,3.00
63,CHAI LATTE,1.00,3.55
66,GARLIC BUTTER,1.00,8.95
67,FRY,7.00,84.00
68,POACHED NECTARINE,1.00,12.00
71,SYRUP,1.00,0.40
72,CREAM,1.00,0.40
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,3.00,29.85
77,TURKISH EGGS,4.00,31.80
83,COCONUT WAFFLES,3.00,33.00
87,BREAKFAST BOWL,4.00,46.00
91,TRUFFLED FRIES,1.00,4.12
100,TOAST,8.00,30.00
101,ESPRESSO MARMALADE,5.00,0.00
112,EXTRA BACON,2.00,3.00
113,EXTRA EGG,3.00,3.00
116,EXTRA BEANS,2.00,3.00
120,EXTRA SAUSAGE,5.00,7.50
124,EXTRA TOAST,0.00,0.00
132,T/A ,2.00,0.00
139,COCONUT MILK,1.00,0.00
142,KIDS SAUSAGE BEANS,1.00,4.95
145,KIDS BACON & BEANS,6.00,29.70
163,CAKE SLICE,16.00,46.50
195,BREAD,0.00,0.00
240,BAKED HAM,4.00,35.80
325,EXTRA HASH BROWN,3.00,3.00
341, ICED LATTE,2.00,6.60
342, KALE KICK,1.00,4.60
343,COCO LOCO ,3.00,13.80
344, STRAWB MILKSHAKE,1.00,4.10
901,OAT MILK,11.00,0.00
902,DECAF,6.00,0.00
903,WEAK,1.00,0.00
904,EXTRA HOT,1.00,0.00
905,BLACK,5.00,0.00
906,HOT MILK,4.00,0.00
908,COLD MILK,1.00,0.00
920,POACHED,3.00,0.00
929,MARMITE,1.00,0.00
930,JUST BUTTER,2.00,0.00
944,VANILLA,1.00,0.00

