RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,6.00,17.70
2,PICCOLO,1.00,2.75
3,AMERICANO,3.00,7.80
4,CAPPUCCINO,4.00,12.20
5,LATTE,12.00,37.80
16,TUMERIC LATTE,1.00,3.55
19,GREEN TEA,1.00,2.95
23,MISC DRINK,-1.00,-20.00
26,TRUFFLE MUSHROOMS,2.00,17.00
27,GF CAKE,2.00,6.50
29,KIDS GRANOLA,2.00,0.00
30,LONG BLACK,1.00,2.85
38,ENGLISH BREAKFAST,1.00,2.95
62,MOCHA,3.00,8.87
63,CHAI LATTE,1.00,3.55
67,FRY,5.00,54.00
76,PORK WAFFLES,1.00,9.95
77,TURKISH EGGS,2.00,15.90
83,COCONUT WAFFLES,6.00,60.50
87,BREAKFAST BOWL,4.00,46.00
91,TRUFFLED FRIES,2.00,8.25
98,FRIES,2.00,6.00
118,EXTRA MUSHROOM,1.00,1.50
132,T/A ,2.00,0.00
143,KIDS VEGAN SAUSAGE,1.00,4.95
145,KIDS BACON & BEANS,3.00,14.85
163,CAKE SLICE,17.00,49.50
232,BAC & SAUS BAP,0.00,0.00
251,ALTITUDE 220,3.00,20.85
260,ALTITUDE 1KG,1.00,26.80
341, ICED LATTE,2.00,4.95
342, KALE KICK,1.00,4.60
901,OAT MILK,3.00,0.00
902,DECAF,7.00,0.00
903,WEAK,1.00,0.00
904,EXTRA HOT,2.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,1.00,0.00

