RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,6.00,18.60
2,PICCOLO,1.00,2.90
3,AMERICANO,3.00,8.40
4,CAPPUCCINO,5.00,16.00
5,LATTE,9.00,28.80
6,ESPRESSO,2.00,5.00
12,HOT CHOCOLATE,1.00,3.55
17,BABYCINO,2.00,0.00
22,EARL GREY,1.00,2.95
24,MISC FOOD,1.00,5.00
26,TRUFFLE MUSHROOMS,3.00,28.50
38,ENGLISH BREAKFAST,4.00,11.80
41,APPLE JUICE,1.00,3.00
44,COLA,2.00,5.07
54,SPARKLING WATER,1.00,3.00
56,CAW APPLE/PEAR,1.00,1.60
62,MOCHA,1.00,3.80
63,CHAI LATTE,1.00,3.55
66,GARLIC BUTTER,5.00,32.00
67,FRY,2.00,27.00
68,POACHED NECTARINE,1.00,7.00
70,VEGAN FRY,4.00,43.86
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,2.00,28.00
77,TURKISH EGGS,1.00,8.50
104,SAUSAGE ROLL,2.00,14.00
113,EXTRA EGG,2.00,3.00
120,EXTRA SAUSAGE,1.00,0.00
124,EXTRA TOAST,1.00,1.50
142,KIDS SAUSAGE BEANS,1.00,0.00
163,CAKE SLICE,11.00,42.00
232,BAC & SAUS BAP,5.00,35.00
240,BAKED HAM,1.00,14.50
251,ALTITUDE 220,1.00,6.95
252,MILL TOWN 220,1.00,6.95
253,CAMPBELL STREET 220,1.00,6.95
261,MILL TOWN 1KG,1.00,26.80
268,SWISS DECAF 1KG,1.00,26.80
287,CAWSTON ELDER,1.00,3.00
318,SHEPPYS ORIG,1.00,5.00
325,EXTRA HASH BROWN,0.00,0.00
338,COFFEE ORIGIN 2 ,1.00,0.50
901,OAT MILK,0.00,0.00
902,DECAF,4.00,0.00
903,WEAK,1.00,0.00
905,BLACK,2.00,0.00
906,HOT MILK,1.00,0.00
920,POACHED,2.00,0.00
949, DAIRY MILK,10.00,0.00
960, TIPS,1.00,2.50

