RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,6.00,18.60
3,AMERICANO,5.00,14.00
4,CAPPUCCINO,6.00,19.20
5,LATTE,10.00,32.00
9,CHEMEX,3.00,11.70
15,BEETROOT LATTE,1.00,3.70
18,LEMONGRASS,1.00,2.95
26,TRUFFLE MUSHROOMS,2.00,19.00
27,GF CAKE,1.00,4.00
30,LONG BLACK,1.00,2.85
38,ENGLISH BREAKFAST,2.00,5.90
39,MINT TEA,2.00,5.90
67,FRY,3.00,40.50
68,POACHED NECTARINE,1.00,7.00
70,VEGAN FRY,1.00,13.50
77,TURKISH EGGS,1.00,8.50
84,WEARE KOMBUCHA,1.00,3.70
87,BREAKFAST BOWL,1.00,12.00
98,FRIES,1.00,3.00
100,TOAST,3.00,13.50
112,EXTRA BACON,2.00,4.00
113,EXTRA EGG,6.00,9.00
118,EXTRA MUSHROOM,1.00,1.50
120,EXTRA SAUSAGE,1.00,2.00
123,GF,1.00,0.00
132,T/A ,2.00,0.00
139,COCONUT MILK,1.00,0.00
145,KIDS BACON & BEANS,1.00,5.50
163,CAKE SLICE,12.00,40.00
251,ALTITUDE 220,2.00,13.90
253,CAMPBELL STREET 220,1.00,6.95
902,DECAF,1.00,0.00
905,BLACK,2.00,0.00
906,HOT MILK,3.00,0.00
920,POACHED,6.00,0.00
930,JUST BUTTER,3.00,0.00
949, DAIRY MILK,23.00,0.00
960, TIPS,1.00,8.00

