RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,7.00,21.70
3,AMERICANO,6.00,16.80
4,CAPPUCCINO,3.00,9.60
5,LATTE,5.00,16.00
8,OWN CUP,2.00,4.80
9,CHEMEX,1.00,3.90
20,CHAMOMILE,1.00,2.95
23,MISC DRINK,1.00,5.90
26,TRUFFLE MUSHROOMS,1.00,9.50
27,GF CAKE,2.00,7.00
38,ENGLISH BREAKFAST,2.00,5.90
61,ORANGE JUICE,1.00,3.00
62,MOCHA,1.00,3.80
67,FRY,2.00,27.00
76,PORK WAFFLES,1.00,14.00
77,TURKISH EGGS,2.00,17.00
91,TRUFFLED FRIES,1.00,5.00
98,FRIES,0.00,0.00
100,TOAST,2.00,9.00
101,ESPRESSO MARMALADE,1.00,0.00
104,SAUSAGE ROLL,1.00,8.00
113,EXTRA EGG,1.00,1.50
120,EXTRA SAUSAGE,1.00,2.00
163,CAKE SLICE,6.00,17.50
232,BAC & SAUS BAP,1.00,7.00
239,BANANA GRANOLA,1.00,7.00
252,MILL TOWN 220,1.00,6.95
262,CAMPBELL STREET 1KG,1.00,26.80
341, ICED LATTE,1.00,3.70
402, �3.50 BREAD,1.00,3.50
403, �4.00 BREAD,2.00,8.00
424,ORGANIC 220,1.00,7.90
901,OAT MILK,7.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,3.00,0.00
908,COLD MILK,2.00,0.00
921,SCRAMBLED,1.00,0.00
930,JUST BUTTER,1.00,0.00

