RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,16.00,48.82
2,PICCOLO,1.00,2.90
3,AMERICANO,10.00,28.00
4,CAPPUCCINO,12.00,38.40
5,LATTE,11.00,35.20
7,MACCHIATO,2.00,4.90
8,OWN CUP,3.00,7.20
12,HOT CHOCOLATE,1.00,3.55
15,BEETROOT LATTE,2.00,7.40
16,TUMERIC LATTE,1.00,3.70
17,BABYCINO,1.00,0.00
18,LEMONGRASS,1.00,2.95
26,TRUFFLE MUSHROOMS,8.00,76.00
27,GF CAKE,2.00,7.00
38,ENGLISH BREAKFAST,3.00,8.85
40,DECAF TEA,1.00,2.90
41,APPLE JUICE,1.00,3.00
44,COLA,1.00,2.90
55,CAW BERRIES,1.00,1.60
56,CAW APPLE/PEAR,1.00,1.60
57,CAW APPLE/MAN,1.00,1.60
62,MOCHA,2.00,7.60
64,KOMBUCHA,1.00,3.70
66,GARLIC BUTTER,2.00,16.00
67,FRY,10.00,135.00
68,POACHED NECTARINE,3.00,21.00
70,VEGAN FRY,2.00,27.00
71,SYRUP,2.00,0.80
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,7.00,98.00
77,TURKISH EGGS,3.00,25.50
87,BREAKFAST BOWL,3.00,36.00
91,TRUFFLED FRIES,1.00,5.00
98,FRIES,0.00,0.00
100,TOAST,6.00,22.50
101,ESPRESSO MARMALADE,1.00,0.00
104,SAUSAGE ROLL,1.00,8.00
112,EXTRA BACON,1.00,0.00
113,EXTRA EGG,6.00,6.00
117,EXTRA TOMATO,0.00,0.00
120,EXTRA SAUSAGE,2.00,4.00
124,EXTRA TOAST,2.00,3.00
132,T/A ,3.00,0.00
139,COCONUT MILK,1.00,0.00
142,KIDS SAUSAGE BEANS,1.00,5.50
143,KIDS VEGAN SAUSAGE,1.00,5.50
144,KIDS WAFFLES,3.00,16.50
163,CAKE SLICE,24.00,84.00
232,BAC & SAUS BAP,4.00,21.00
240,BAKED HAM,1.00,14.50
248,KIMCHI 500ML  ,1.00,6.00
251,ALTITUDE 220,3.00,20.85
252,MILL TOWN 220,1.00,6.95
253,CAMPBELL STREET 220,1.00,6.95
254,RWANDA 220,1.00,7.90
260,ALTITUDE 1KG,1.00,26.80
262,CAMPBELL STREET 1KG,1.00,26.80
268,SWISS DECAF 1KG,1.00,26.80
325,EXTRA HASH BROWN,2.00,3.00
330,PROPER JOB,5.00,23.00
341, ICED LATTE,1.00,3.70
342, KALE KICK,5.00,23.00
343,COCO LOCO ,4.00,18.40
344, STRAWB MILKSHAKE,1.00,4.20
345,VANILLA MILKSHAKE ,2.00,8.40
346,CHOCO MILKSHAKE ,1.00,4.20
402, �3.50 BREAD,4.00,14.00
403, �4.00 BREAD,2.00,8.00
429,ORGANIC 1KG,1.00,31.70
901,OAT MILK,14.00,0.00
902,DECAF,8.00,0.00
905,BLACK,4.00,0.00
906,HOT MILK,4.00,0.00
908,COLD MILK,2.00,0.00
920,POACHED,5.00,0.00
921,SCRAMBLED,1.00,0.00
929,MARMITE,1.00,0.00
930,JUST BUTTER,3.00,0.00
945,HAZELNUT,1.00,0.00
946,CARAMEL,1.00,0.00

