RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,501.00,1466.91
2,PICCOLO,15.00,42.00
3,AMERICANO,289.00,746.80
4,CAPPUCCINO,293.00,876.13
5,LATTE,389.00,1195.84
6,ESPRESSO,25.00,56.48
7,MACCHIATO,1.00,2.45
8,OWN CUP,25.00,59.76
9,CHEMEX,13.00,49.65
10,ICED CHAI,13.00,46.90
12,HOT CHOCOLATE,76.00,269.80
14,MATCHA LATTE,3.00,10.65
15,BEETROOT LATTE,6.00,21.30
16,TUMERIC LATTE,7.00,25.45
17,BABYCINO,12.00,0.00
18,LEMONGRASS,4.00,8.85
19,GREEN TEA,12.00,35.40
20,CHAMOMILE,3.00,7.37
21,FRUIT FUSION,2.00,5.90
22,EARL GREY,25.00,70.80
23,MISC DRINK,11.00,68.60
24,MISC FOOD,25.00,102.37
26,TRUFFLE MUSHROOMS,96.00,845.74
27,GF CAKE,72.00,236.25
29,KIDS GRANOLA,22.00,96.52
30,LONG BLACK,49.00,135.36
31,BATCH BREW,4.00,9.65
34,ICED BLACK,4.00,13.20
35,ICED MOCHA,18.00,61.40
36,MINI HOT CHOC,23.00,46.00
38,ENGLISH BREAKFAST,115.00,334.82
39,MINT TEA,18.00,53.10
40,DECAF TEA,21.00,60.90
41,APPLE JUICE,29.00,84.00
42,ICED CHOCOLATE ,8.00,28.80
44,COLA,20.00,56.55
45,LEMONY LEMONADE ,20.00,57.27
46,GINGERELLA,8.00,21.75
54,SPARKLING WATER,16.00,48.00
55,CAW BERRIES,3.00,4.80
56,CAW APPLE/PEAR,12.00,19.20
57,CAW APPLE/MAN,16.00,25.60
61,ORANGE JUICE,22.00,63.00
62,MOCHA,44.00,157.20
63,CHAI LATTE,20.00,71.00
64,KOMBUCHA,1.00,1.85
66,GARLIC BUTTER,36.00,210.45
67,FRY,175.00,2203.50
68,POACHED NECTARINE,27.00,285.50
70,VEGAN FRY,30.00,393.00
71,SYRUP,57.00,22.40
72,CREAM,28.00,11.20
73,NO CREAM,47.00,0.00
75,VOUCHER SALE,2.00,50.00
76,PORK WAFFLES,59.00,671.17
77,TURKISH EGGS,78.00,601.51
83,COCONUT WAFFLES,55.00,583.00
84,WEARE KOMBUCHA,12.00,44.40
87,BREAKFAST BOWL,64.00,687.48
91,TRUFFLED FRIES,25.00,129.62
96,HUSKEE CUPS,1.00,14.95
98,FRIES,22.00,50.25
100,TOAST,103.00,424.50
101,ESPRESSO MARMALADE,25.00,0.00
103,GINGER MARMALADE,3.00,0.00
104,SAUSAGE ROLL,35.00,209.50
112,EXTRA BACON,43.00,56.10
113,EXTRA EGG,95.00,112.00
116,EXTRA BEANS,9.00,9.00
117,EXTRA TOMATO,4.00,5.50
118,EXTRA MUSHROOM,8.00,10.50
120,EXTRA SAUSAGE,36.00,43.00
123,GF,2.00,0.00
124,EXTRA TOAST,11.00,4.99
132,T/A ,98.00,0.00
133,TAKEAWAY,3.00,0.00
139,COCONUT MILK,29.00,0.00
142,KIDS SAUSAGE BEANS,31.00,155.10
143,KIDS VEGAN SAUSAGE,10.00,50.46
144,KIDS WAFFLES,31.00,155.10
145,KIDS BACON & BEANS,63.00,310.47
153,PROMO BREAD,0.00,0.00
163,CAKE SLICE,548.00,1707.20
165,DOUGHNUTS,52.00,200.00
168,COOKIE,9.00,27.00
176,SHEPPYS ELDER,0.00,0.00
177,FREE WINE GLASS,0.00,0.00
179,BREAD & BUTTER,0.00,0.00
195,BREAD,14.00,44.62
232,BAC & SAUS BAP,77.00,507.50
239,BANANA GRANOLA,16.00,83.90
240,BAKED HAM,21.00,190.10
251,ALTITUDE 220,56.00,386.76
252,MILL TOWN 220,31.00,213.71
253,CAMPBELL STREET 220,20.00,139.00
254,RWANDA 220,14.00,110.60
255,HONDURAS 220,2.00,15.80
256,ETHIOPIAN 220,9.00,70.52
257,COSTA RICA 220,1.00,7.90
258,PAPUA NEW GUINEA  220,0.00,0.00
259,SWISS DECAF 220,17.00,118.15
260,ALTITUDE 1KG,14.00,375.20
261,MILL TOWN 1KG,6.00,160.80
262,CAMPBELL STREET 1KG,6.00,147.40
263, RWANDA 1KG,4.00,126.80
268,SWISS DECAF 1KG,8.00,214.40
269,AFFOGATO,0.00,0.00
279,175ML RED,0.00,0.00
280,250ML RED,1.00,3.90
281,175ML WHITE,1.00,2.62
282,250ML WHITE,1.00,6.50
283, COLD MILK,3.00,4.50
287,CAWSTON ELDER,9.00,27.00
288,CAWSTON APPLE,7.00,21.00
301,TOTE BAG,2.00,10.00
318,SHEPPYS ORIG,1.00,4.60
325,EXTRA HASH BROWN,17.00,15.75
330,PROPER JOB,1.00,3.45
331,VOCATION,1.00,4.60
336,COFFEE ORIGIN 1,2.00,0.40
338,COFFEE ORIGIN 2 ,12.00,6.00
339,FILTER COFFEE ,1.00,2.00
341, ICED LATTE,37.00,121.20
342, KALE KICK,36.00,164.45
343,COCO LOCO ,37.00,170.20
344, STRAWB MILKSHAKE,8.00,32.80
345,VANILLA MILKSHAKE ,19.00,78.40
346,CHOCO MILKSHAKE ,25.00,102.17
348,EXTRA AVOCADO,5.00,6.00
400, Miscellaneous gifts,0.00,0.00
402, 3.50 BREAD,54.00,185.49
403, 4.00 BREAD,74.00,290.00
424,ORGANIC 220,6.00,47.40
429,ORGANIC 1KG,1.00,31.70
901,OAT MILK,273.00,0.00
902,DECAF,191.00,0.00
903,WEAK,39.00,0.00
904,EXTRA HOT,38.00,0.00
905,BLACK,121.00,0.00
906,HOT MILK,90.00,0.00
908,COLD MILK,76.00,0.00
920,POACHED,72.00,0.00
921,SCRAMBLED,18.00,0.00
923,FRIED,5.00,0.00
927,JAM,20.00,0.00
929,MARMITE,4.00,0.00
930,JUST BUTTER,40.00,0.00
944,VANILLA,20.00,0.00
945,HAZELNUT,6.00,0.00
946,CARAMEL,31.00,0.00
949, DAIRY MILK,0.00,0.00
960, TIPS,7.00,25.65
961,VEGAN,1.00,0.00
962,GLUTEN FREE,7.00,0.00
967,DAIRY ALLERGY,2.00,0.00
