RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,12.00,35.65
3,AMERICANO,6.00,16.80
4,CAPPUCCINO,6.00,19.20
5,LATTE,21.00,67.20
8,OWN CUP,3.00,4.80
10,ICED CHAI,4.00,11.10
12,HOT CHOCOLATE,1.00,3.55
22,EARL GREY,1.00,2.95
23,MISC DRINK,1.00,5.90
26,TRUFFLE MUSHROOMS,1.00,9.50
27,GF CAKE,6.00,21.00
29,KIDS GRANOLA,0.00,0.00
30,LONG BLACK,0.00,0.00
38,ENGLISH BREAKFAST,4.00,11.80
40,DECAF TEA,1.00,2.90
41,APPLE JUICE,1.00,3.00
54,SPARKLING WATER,2.00,6.00
62,MOCHA,4.00,15.20
63,CHAI LATTE,1.00,3.55
66,GARLIC BUTTER,1.00,8.00
67,FRY,2.00,27.00
68,POACHED NECTARINE,1.00,7.00
70,VEGAN FRY,4.00,54.00
71,SYRUP,4.00,1.60
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,5.00,70.00
77,TURKISH EGGS,2.00,17.00
84,WEARE KOMBUCHA,3.00,11.10
87,BREAKFAST BOWL,1.00,12.00
100,TOAST,4.00,18.00
101,ESPRESSO MARMALADE,2.00,0.00
112,EXTRA BACON,2.00,4.00
113,EXTRA EGG,5.00,7.50
116,EXTRA BEANS,1.00,1.50
118,EXTRA MUSHROOM,1.00,1.50
124,EXTRA TOAST,2.00,3.00
132,T/A ,3.00,0.00
139,COCONUT MILK,4.00,0.00
163,CAKE SLICE,18.00,61.25
165,DOUGHNUTS,0.00,0.00
168,COOKIE,0.00,0.00
232,BAC & SAUS BAP,3.00,21.00
239,BANANA GRANOLA,1.00,7.00
240,BAKED HAM,1.00,14.50
252,MILL TOWN 220,2.00,13.90
253,CAMPBELL STREET 220,1.00,3.47
254,RWANDA 220,1.00,7.90
256,ETHIOPIAN 220,1.00,4.55
259,SWISS DECAF 220,2.00,10.42
263, RWANDA 1KG,0.00,0.00
339,FILTER COFFEE ,0.00,0.00
341, ICED LATTE,1.00,3.70
343,COCO LOCO ,2.00,9.20
346,CHOCO MILKSHAKE ,1.00,4.20
402, �3.50 BREAD,1.00,3.50
901,OAT MILK,14.00,0.00
902,DECAF,5.00,0.00
903,WEAK,2.00,0.00
904,EXTRA HOT,1.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,4.00,0.00
908,COLD MILK,1.00,0.00
920,POACHED,1.00,0.00
921,SCRAMBLED,4.00,0.00
930,JUST BUTTER,2.00,0.00
944,VANILLA,1.00,0.00
946,CARAMEL,3.00,0.00

